SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35069,OPTIDX,0,FINNIFTY-Oct2024-28150-CE,25.0,FINNIFTY 08 OCT 28150 CALL,2024-10-08 14:30:00,28150.0,CE,5.0,W,OP,,
NSE,D,35070,OPTIDX,0,FINNIFTY-Oct2024-28150-PE,25.0,FINNIFTY 08 OCT 28150 PUT,2024-10-08 14:30:00,28150.0,PE,5.0,W,OP,,
NSE,D,35071,OPTIDX,0,FINNIFTY-Oct2024-31900-CE,25.0,FINNIFTY 08 OCT 31900 CALL,2024-10-08 14:30:00,31900.0,CE,5.0,W,OP,,
NSE,D,35072,OPTIDX,0,FINNIFTY-Oct2024-31900-PE,25.0,FINNIFTY 08 OCT 31900 PUT,2024-10-08 14:30:00,31900.0,PE,5.0,W,OP,,
NSE,D,35246,OPTIDX,0,FINNIFTY-Oct2024-27750-CE,25.0,FINNIFTY 08 OCT 27750 CALL,2024-10-08 14:30:00,27750.0,CE,5.0,W,OP,,
NSE,D,35248,OPTIDX,0,FINNIFTY-Oct2024-27750-PE,25.0,FINNIFTY 08 OCT 27750 PUT,2024-10-08 14:30:00,27750.0,PE,5.0,W,OP,,
NSE,D,35256,OPTIDX,0,FINNIFTY-Oct2024-31500-CE,25.0,FINNIFTY 08 OCT 31500 CALL,2024-10-08 14:30:00,31500.0,CE,5.0,W,OP,,
NSE,D,35259,OPTIDX,0,FINNIFTY-Oct2024-31500-PE,25.0,FINNIFTY 08 OCT 31500 PUT,2024-10-08 14:30:00,31500.0,PE,5.0,W,OP,,
NSE,D,36189,OPTIDX,0,FINNIFTY-Oct2024-16000-CE,25.0,FINNIFTY 08 OCT 16000 CALL,2024-10-08 14:30:00,16000.0,CE,5.0,W,OP,,
NSE,D,36190,OPTIDX,0,FINNIFTY-Oct2024-16000-PE,25.0,FINNIFTY 08 OCT 16000 PUT,2024-10-08 14:30:00,16000.0,PE,5.0,W,OP,,
NSE,D,36365,OPTIDX,0,FINNIFTY-Oct2024-16100-CE,25.0,FINNIFTY 08 OCT 16100 CALL,2024-10-08 14:30:00,16100.0,CE,5.0,W,OP,,
