SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,37372,OPTIDX,0,NIFTY-Oct2024-19600-CE,25.0,NIFTY 10 OCT 19600 CALL,2024-10-10 14:30:00,19600.0,CE,5.0,W,OP,,
NSE,D,37377,OPTIDX,0,NIFTY-Oct2024-19600-PE,25.0,NIFTY 10 OCT 19600 PUT,2024-10-10 14:30:00,19600.0,PE,5.0,W,OP,,
NSE,D,37378,OPTIDX,0,NIFTY-Oct2024-19650-CE,25.0,NIFTY 10 OCT 19650 CALL,2024-10-10 14:30:00,19650.0,CE,5.0,W,OP,,
NSE,D,37380,OPTIDX,0,NIFTY-Oct2024-19650-PE,25.0,NIFTY 10 OCT 19650 PUT,2024-10-10 14:30:00,19650.0,PE,5.0,W,OP,,
NSE,D,37382,OPTIDX,0,NIFTY-Oct2024-19700-CE,25.0,NIFTY 10 OCT 19700 CALL,2024-10-10 14:30:00,19700.0,CE,5.0,W,OP,,
NSE,D,37383,OPTIDX,0,NIFTY-Oct2024-19700-PE,25.0,NIFTY 10 OCT 19700 PUT,2024-10-10 14:30:00,19700.0,PE,5.0,W,OP,,
NSE,D,37384,OPTIDX,0,NIFTY-Oct2024-19750-CE,25.0,NIFTY 10 OCT 19750 CALL,2024-10-10 14:30:00,19750.0,CE,5.0,W,OP,,
NSE,D,37385,OPTIDX,0,NIFTY-Oct2024-19750-PE,25.0,NIFTY 10 OCT 19750 PUT,2024-10-10 14:30:00,19750.0,PE,5.0,W,OP,,
NSE,D,37387,OPTIDX,0,NIFTY-Oct2024-19800-CE,25.0,NIFTY 10 OCT 19800 CALL,2024-10-10 14:30:00,19800.0,CE,5.0,W,OP,,
NSE,D,37389,OPTIDX,0,NIFTY-Oct2024-19800-PE,25.0,NIFTY 10 OCT 19800 PUT,2024-10-10 14:30:00,19800.0,PE,5.0,W,OP,,
NSE,D,37393,OPTIDX,0,NIFTY-Oct2024-19850-CE,25.0,NIFTY 10 OCT 19850 CALL,2024-10-10 14:30:00,19850.0,CE,5.0,W,OP,,
NSE,D,37395,OPTIDX,0,NIFTY-Oct2024-19850-PE,25.0,NIFTY 10 OCT 19850 PUT,2024-10-10 14:30:00,19850.0,PE,5.0,W,OP,,
NSE,D,40486,OPTIDX,0,NIFTY-Oct2024-31300-CE,25.0,NIFTY 10 OCT 31300 CALL,2024-10-10 14:30:00,31300.0,CE,5.0,W,OP,,
NSE,D,40487,OPTIDX,0,NIFTY-Oct2024-31300-PE,25.0,NIFTY 10 OCT 31300 PUT,2024-10-10 14:30:00,31300.0,PE,5.0,W,OP,,
NSE,D,40488,OPTIDX,0,NIFTY-Oct2024-31350-CE,25.0,NIFTY 10 OCT 31350 CALL,2024-10-10 14:30:00,31350.0,CE,5.0,W,OP,,
NSE,D,40489,OPTIDX,0,NIFTY-Oct2024-31350-PE,25.0,NIFTY 10 OCT 31350 PUT,2024-10-10 14:30:00,31350.0,PE,5.0,W,OP,,
NSE,D,40490,OPTIDX,0,NIFTY-Oct2024-31400-CE,25.0,NIFTY 10 OCT 31400 CALL,2024-10-10 14:30:00,31400.0,CE,5.0,W,OP,,
NSE,D,40491,OPTIDX,0,NIFTY-Oct2024-31400-PE,25.0,NIFTY 10 OCT 31400 PUT,2024-10-10 14:30:00,31400.0,PE,5.0,W,OP,,
NSE,D,40492,OPTIDX,0,NIFTY-Oct2024-31450-CE,25.0,NIFTY 10 OCT 31450 CALL,2024-10-10 14:30:00,31450.0,CE,5.0,W,OP,,
NSE,D,40508,OPTIDX,0,NIFTY-Oct2024-31450-PE,25.0,NIFTY 10 OCT 31450 PUT,2024-10-10 14:30:00,31450.0,PE,5.0,W,OP,,
NSE,D,42192,OPTIDX,0,NIFTY-Oct2024-19900-CE,25.0,NIFTY 10 OCT 19900 CALL,2024-10-10 14:30:00,19900.0,CE,5.0,W,OP,,
