SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,D,1123767,OPTIDX,0,SENSEX-Oct2024-78700-PE,10.0,SENSEX 11 OCT 78700 PUT,2024-10-11 15:30:00,78700.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123769,OPTIDX,0,SENSEX-Oct2024-77200-PE,10.0,SENSEX 11 OCT 77200 PUT,2024-10-11 15:30:00,77200.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123771,OPTIDX,0,SENSEX-Oct2024-81800-CE,10.0,SENSEX 11 OCT 81800 CALL,2024-10-11 15:30:00,81800.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123773,OPTIDX,0,SENSEX-Oct2024-80300-CE,10.0,SENSEX 11 OCT 80300 CALL,2024-10-11 15:30:00,80300.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123777,OPTIDX,0,SENSEX-Oct2024-77500-CE,10.0,SENSEX 11 OCT 77500 CALL,2024-10-11 15:30:00,77500.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123778,OPTIDX,0,SENSEX-Oct2024-79200-CE,10.0,SENSEX 11 OCT 79200 CALL,2024-10-11 15:30:00,79200.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123780,OPTIDX,0,SENSEX-Oct2024-84300-PE,10.0,SENSEX 11 OCT 84300 PUT,2024-10-11 15:30:00,84300.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123785,OPTIDX,0,SENSEX-Oct2024-80600-PE,10.0,SENSEX 11 OCT 80600 PUT,2024-10-11 15:30:00,80600.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123786,OPTIDX,0,SENSEX-Oct2024-84600-CE,10.0,SENSEX 11 OCT 84600 CALL,2024-10-11 15:30:00,84600.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123788,OPTIDX,0,SENSEX-Oct2024-77800-PE,10.0,SENSEX 11 OCT 77800 PUT,2024-10-11 15:30:00,77800.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123789,OPTIDX,0,SENSEX-Oct2024-80900-CE,10.0,SENSEX 11 OCT 80900 CALL,2024-10-11 15:30:00,80900.0,CE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123792,OPTIDX,0,SENSEX-Oct2024-79500-PE,10.0,SENSEX 11 OCT 79500 PUT,2024-10-11 15:30:00,79500.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123796,OPTIDX,0,SENSEX-Oct2024-78000-PE,10.0,SENSEX 11 OCT 78000 PUT,2024-10-11 15:30:00,78000.0,PE,5.0,W,OPTIDX,,BSXOPT
BSE,D,1123797,OPTIDX,0,SENSEX-Oct2024-82600-CE,10.0,SENSEX 11 OCT 82600 CALL,2024-10-11 15:30:00,82600.0,CE,5.0,W,OPTIDX,,BSXOPT
